cuenca_n1,codcuenca,tipo_obra,volumen,departamento,uso,destino,lat,lon,estado,accion_solicitud,tipo_resolucion,curso,area_cuenca_ha,tipo_obra_agr
Río Uruguay,10,Represa Mediana,4097400.0,ARTIGAS,Otros usos agropecuarios,Abrevadero de ganado,-30.551231870022185,-56.90714163945258,Registrada,Nueva,Concesión,Cda. Zanja José Juan,875.0,Represa Mediana
Río Uruguay,10,Represa Mediana,2237000.0,ARTIGAS,Otros usos agropecuarios,Abrevadero de ganado,-30.768699089046773,-56.89500094320569,Registrada,Renovación,Concesión,Cda. del Sauce,720.0,Represa Mediana
Río Uruguay,10,Represa Chica,0.0,ARTIGAS,Riego,Arroz,-30.539454557101294,-56.60302815289879,Registrada,Renovación,Concesión,Cda. s/n,80.0,Represa Chica
Río Uruguay,10,Represa Mediana,2000000.0,ARTIGAS,Riego,Arroz,-30.378383672377165,-57.39826217982998,Registrada,Nueva,Concesión,Cda. Del Sauzal I,500.0,Represa Mediana
Río Uruguay,10,Represa Chica,648000.0,ARTIGAS,Riego,Arroz,-30.745597225457516,-56.85297064221824,Registrada,Nueva,Concesión,Cda. / Ao. Cuaro,150.0,Represa Chica
Río Uruguay,10,Represa Grande,7082000.0,ARTIGAS,Riego,Arroz,-30.262517684946168,-56.91739615577281,Registrada,Renovación,Concesión,Cda. sin nombre,1300.0,Represa Grande
Río Uruguay,10,Represa Chica,2963000.0,ARTIGAS,Riego,Arroz,-30.90636341990602,-56.563942052570965,Registrada,Renovación,Concesión,Cda. /A° Sarandí,341.0,Represa Chica
Río Uruguay,10,Represa Mediana,2753000.0,ARTIGAS,Riego,Arroz,-30.32016356950844,-56.75689879211755,Registrada,Renovación,Concesión,Cda. Grande/Ao. de la Raposa,795.0,Represa Mediana
Río Uruguay,10,Represa Grande,2801000.0,ARTIGAS,Riego,Arroz,-30.23752531450046,-56.64078666348033,Registrada,Nueva,Concesión,Cda. del Cerrito,1700.0,Represa Grande
Río Uruguay,10,Represa Chica,478000.0,ARTIGAS,Riego,Forraje/Pradera/Semillas,-30.27031675760388,-56.846822212270766,Registrada,Nueva,Concesión,Cda./Ao Yacot,400.0,Represa Chica
Río Uruguay,10,Represa Chica,2979000.0,ARTIGAS,Riego,Arroz,-30.302328530075975,-56.789989726047615,Registrada,Renovación,Concesión,Ao. Molles del Sauce,430.0,Represa Chica
Río Uruguay,10,Represa Mediana,1690000.0,ARTIGAS,Riego,Arroz,-30.145210731465752,-57.02400513579964,Registrada,Nueva,Autorización,Cda. sin nombre,730.0,Represa Mediana
Río Uruguay,10,Represa Chica,495000.0,ARTIGAS,Riego,Arroz,-30.75821,-56.67654,Registrada,Nueva,Concesión,Cañada,280.0,Represa Chica
Río Uruguay,10,Represa Mediana,145550.0,ARTIGAS,Riego,Arroz,-30.76647,-56.67929,Registrada,Nueva,Concesión,Cañada,870.0,Represa Mediana
Río Uruguay,10,Represa Chica,354200.0,ARTIGAS,Riego,Otros,-30.68331,-56.33579,Registrada,Nueva,Concesión,Cañada,335.0,Represa Chica
Río Uruguay,10,Represa Grande,2530000.0,ARTIGAS,Riego,Arroz,-30.25454,-56.73229,Registrada,Nueva,Concesión,Cda. s/n,980.0,Represa Grande
Río Uruguay,10,Represa Chica,1968310.0,ARTIGAS,Riego,Arroz,-30.47709,-57.37329,Registrada,Nueva,Concesión,Cda. s/n,390.0,Represa Chica
Río Uruguay,10,Represa Chica,1229050.0,ARTIGAS,Otros usos,Otros,-30.41438,-57.38311,Registrada,Nueva,Concesión,Cda. Del Potrero,340.0,Represa Chica
Río Uruguay,10,Represa Grande,1901000.0,ARTIGAS,Riego,Arroz,-30.19938,-56.77167,Registrada,Nueva,Concesión,Cda. s/n,1120.0,Represa Grande
Río Uruguay,10,Tajamar Grande,15113.0,ARTIGAS,Riego,Frutales,-30.46709,-56.64992,Registrada,Nueva,Permiso de uso,Cda. s/n,3.0,Tajamar Grande
Río Uruguay,10,Represa Grande,6255000.0,ARTIGAS,Riego,Arroz,-30.342760504823936,-57.114846135171426,Registrada,Cesión,Concesión,Cda. Del Sauce,1300.0,Represa Grande
Río Uruguay,10,Represa Chica,1905000.0,ARTIGAS,Riego,Arroz,-30.22085,-57.09978,Registrada,Nueva,Concesión,Cda. Honda,380.0,Represa Chica
Río Uruguay,10,Represa Grande,4389000.0,ARTIGAS,Riego,Arroz,-30.334305455756496,-57.14800607522629,Registrada,Renovación,Concesión,Cda. Del Sauce,3440.0,Represa Grande
Río Uruguay,10,Represa Grande,2062000.0,ARTIGAS,Riego,Arroz,-30.496581024197656,-57.39394283968195,Registrada,Renovación,Concesión,Cda. Cuatro Sauces,1380.0,Represa Grande
Río Uruguay,10,Represa Grande,6068000.0,ARTIGAS,Riego,Arroz,-30.78963837805076,-56.9756790639002,Registrada,Renovación,Concesión,Cda. Del Sauzal,2340.0,Represa Grande
Río Uruguay,10,Represa Chica,1211000.0,ARTIGAS,Riego,Arroz,-30.774805127549968,-57.00494762510061,Registrada,Renovación,Concesión,Cda. s/n,290.0,Represa Chica
Río Uruguay,10,Represa Grande,3017000.0,ARTIGAS,Riego,Arroz,-30.404386777351668,-56.773919910192475,Registrada,Nueva,Concesión,Ao. Sarandí,1200.0,Represa Grande
Río Uruguay,10,Represa Grande,2261000.0,ARTIGAS,Riego,Arroz,-30.330553467044076,-56.575308325700455,Registrada,Nueva,Concesión,Ao. De Lemos,1701.0,Represa Grande
Río Uruguay,10,Represa Chica,1650000.0,ARTIGAS,Riego,Arroz,-30.257688250049284,-57.03123343060724,Registrada,Nueva,Concesión,Cda. Del Sauzal,340.0,Represa Chica
Río Uruguay,10,Represa Grande,1460000.0,ARTIGAS,Riego,Arroz,-30.328108706380135,-57.395420554094,Registrada,Nueva,Concesión,Cda. Del Sauzal I,2500.0,Represa Grande
Río Uruguay,10,Represa Grande,6133920.0,ARTIGAS,Riego,Arroz,-30.894020123928442,-56.49557161610572,Registrada,Nueva,Concesión,Ao. Sarandí,2205.0,Represa Grande
Río Uruguay,10,Represa Mediana,1824950.0,ARTIGAS,Riego,Arroz,-30.45187753319879,-57.22959065577015,Registrada,Nueva,Concesión,Cda. s/n,531.0,Represa Mediana
Río Uruguay,10,Represa Mediana,2897405.0,ARTIGAS,Riego,Arroz,-30.49369554637756,-56.96429300587625,Registrada,Nueva,Concesión,Cda. Zanja De La Media Luna,755.0,Represa Mediana
Río Uruguay,10,Tajamar Chico,2655.0,ARTIGAS,Otros usos agropecuarios,Abrevadero de ganado,-30.91277952075903,-56.25318771635648,Registrada,Nueva,Permiso de uso,Cda. s/n,30.0,Tajamar Chico
Río Uruguay,10,Tajamar Chico,6917.0,ARTIGAS,Otros usos agropecuarios,Abrevadero de ganado,-30.606432399591647,-56.99347043177113,Registrada,Nueva,Permiso de uso,Cda. s/n,10.0,Tajamar Chico
Río Uruguay,10,Tajamar Chico,1375.0,ARTIGAS,Otros usos agropecuarios,Abrevadero de ganado,-30.790190674153322,-56.30761635373346,Registrada,Nueva,Permiso de uso,Cda. s/n,20.0,Tajamar Chico
Río Uruguay,10,Represa Chica,1498500.0,ARTIGAS,Riego,Arroz,-30.304228335467286,-57.325721026863896,Registrada,Nueva,Concesión,Cda. s/n,340.0,Represa Chica
Río Uruguay,10,Represa Chica,1985000.0,ARTIGAS,Riego,Forraje/Pradera/Semillas,-30.35601239103991,-57.36357236048207,Registrada,Nueva,Concesión,Cda. s/n,370.0,Represa Chica
Río Uruguay,10,Represa Chica,769232.0,ARTIGAS,Riego,Arroz,-30.50299914547432,-57.115690828068175,Registrada,Nueva,Concesión,Cda. De La Chacra,358.0,Represa Chica
